id,page_id,data_type_code
1381,9475,PDF
1384,14718,DOC
1390,14777,DOC
1395,14766,DOC
1400,14870,DOC
1427,15347,PDF
1457,15376,DOC
1476,15708,PDF
1503,15718,PDF
1505,15718,PDF
1516,15726,PDF
1536,15427,PDF
1537,15457,PDF
1569,16068,PDF
1575,16081,PDF
1626,15553,PDF
1654,15560,PDF
1708,16012,DOC
1615,15436,PDF
1742,15823,PDF
1787,15862,PDF
1834,15900,PDF
1847,16034,DOC
1865,15502,DOC
1868,15505,PDF
1888,15590,DOC
1920,16221,DOC
1943,3940,DOC
1947,3936,DOC
1989,3979,PDF
1991,3962,PDF
2004,3985,PDF
2020,4090,PDF
2036,3947,PDF
2052,3958,PDF
2081,2851,PDF
2093,4047,DOC
2098,4051,PDF
2123,4141,PPT
2124,4136,PDF
2135,3282,PDF
2144,15539,DOC
2163,3392,DOC
2180,18429,PDF
2210,3808,PDF
2220,18446,PDF
2291,18512,PDF
2350,18548,PDF
2321,18455,PDF
2292,18514,PDF
2404,2613,PDF
2416,2766,PDF
2433,18942,PDF
2461,19032,PDF
2465,18913,PDF
2484,19303,PDF
2537,3824,PDF
2545,3830,PPT
2649,20443,DOC
2669,20493,PDF
2681,20520,PDF
2690,20510,PDF
2712,20581,PDF
2725,20587,DOC
2733,20533,PDF
2767,20601,PDF
2777,20535,PDF
2786,20545,PDF
2810,20602,PDF
2841,20634,PDF
2852,20632,PDF
2882,20681,PDF
2884,20690,PDF
2891,20690,PDF
2902,20694,PDF
2927,20704,PDF
2942,20710,PDF
2953,20710,PDF
2964,20742,PDF
2984,20717,PDF
2989,20758,PDF
434,577,PDF
455,2018,DOC
474,7726,DOC
488,7698,PDF
532,7376,PDF
546,7135,PDF
571,3243,PDF
603,3240,PDF
621,3217,PDF
624,3225,PDF
649,9167,PDF
659,9180,DOC
675,9196,DOC
694,9584,PDF
702,9572,PDF
716,9587,PDF
747,9646,PDF
756,9651,PDF
845,9721,PDF
892,9695,PDF
918,3614,PDF
938,9705,PDF
954,1183,PDF
989,1496,PDF
991,1491,PDF
995,10937,DOC
1007,10942,DOC
1022,10950,DOC
1046,10953,DOC
1052,10961,PDF
1075,11052,DOC
1097,1510,PDF
1102,1518,PDF
1120,3931,DOC
1129,1950,DOC
1150,12594,DOC
1158,12587,PDF
1170,12705,PDF
1193,2074,PDF
1220,4233,PDF
1230,14543,PDF
1231,14545,PDF
1250,14556,PDF
1263,14568,PDF
1278,14565,PDF
1300,14621,PDF
1325,14651,PDF
1339,14619,DOC
1359,14687,PDF
1368,14653,DOC
1401,14868,DOC
1428,15334,PDF
1462,15380,PDF
1480,15373,PDF
1499,15722,PDF
1508,15724,PDF
1525,15409,PDF
1550,15494,PDF
1597,16093,DOC
1599,16098,DOC
1650,15456,DOC
1656,15463,PDF
1690,15571,PDF
1698,16005,DOC
1610,15436,PDF
1747,15832,PDF
1759,15821,PDF
1772,15843,PDF
1806,15913,DOC
1816,15911,DOC
1803,15822,PDF
1848,16034,DOC
1864,15505,PDF
1883,15554,DOC
1887,15590,DOC
1942,3936,DOC
1959,3975,DOC
1965,3965,DOC
1977,4012,PDF
1987,4003,PDF
2022,4090,PDF
2040,3947,PDF
2054,6654,PDF
2082,2851,PDF
2131,3391,DOC
2166,18418,PDF
2223,18487,PDF
2241,18484,PDF
2266,18448,PDF
2346,18480,PDF
2332,18433,PDF
2360,18528,PDF
2405,2625,PDF
2421,2766,PDF
2434,19012,PDF
2457,19032,PDF
2468,18916,PDF
2486,19310,PDF
2501,2818,DOC
2538,3840,PDF
2642,20434,DOC
2665,20492,PDF
2693,20517,PDF
2730,20528,PDF
2735,20537,PDF
2745,20549,PDF
2780,20540,PDF
2789,20559,PDF
2799,20545,PDF
2836,20618,PDF
